age;male_weight_kg;female_weight_kg
0;7.8;7.3
1;12;11.2
2;14.4;13.7
3;16.5;15.9
4;18.8;18.2
5;21;20.6
6;24;23.3
7;26.9;26.2
8;30.4;29.5
9;34.3;33.4
10;37.9;37.1
11;42.7;41.5
12;47.6;46.6
13;53.9;50.9
14;60.1;54.4
15;65.3;57.4
16;70.7;58.8
17;73.2;59.8
18;75.8;61.4
19;75.8;61.4
20;79.2;63
21;79.2;63
22;79.2;63
23;79.2;63
24;79.2;63
25;82.5;65.4
26;82.5;65.4
27;82.5;65.4
28;82.5;65.4
29;82.5;65.4
30;84.4;67
31;84.4;67
32;84.4;67
33;84.4;67
34;84.4;67
35;85.9;67.9
36;85.9;67.9
37;85.9;67.9
38;85.9;67.9
39;85.9;67.9
40;87.3;68.7
41;87.3;68.7
42;87.3;68.7
43;87.3;68.7
44;87.3;68.7
45;87.6;69.4
46;87.6;69.4
47;87.6;69.4
48;87.6;69.4
49;87.6;69.4
50;87.8;70.1
51;87.8;70.1
52;87.8;70.1
53;87.8;70.1
54;87.8;70.1
55;87.7;70.4
56;87.7;70.4
57;87.7;70.4
58;87.7;70.4
59;87.7;70.4
60;87.3;70.9
61;87.3;70.9
62;87.3;70.9
63;87.3;70.9
64;87.3;70.9
65;86.5;71.3
66;86.5;71.3
67;86.5;71.3
68;86.5;71.3
69;86.5;71.3
70;84.8;70.6
71;84.8;70.6
72;84.8;70.6
73;84.8;70.6
74;84.8;70.6
75;81.2;68.5
76;81.2;68.5
77;81.2;68.5
78;81.2;68.5
79;81.2;68.5
80;81.2;68.5
81;81.2;68.5
82;81.2;68.5
83;81.2;68.5
84;81.2;68.5
85;81.2;68.5
86;81.2;68.5
87;81.2;68.5
88;81.2;68.5
89;81.2;68.5
90;81.2;68.5
91;81.2;68.5
92;81.2;68.5
93;81.2;68.5
94;81.2;68.5
95;81.2;68.5
96;81.2;68.5
97;81.2;68.5
98;81.2;68.5
99;81.2;68.5
100;81.2;68.5
101;81.2;68.5
102;81.2;68.5
103;81.2;68.5
104;81.2;68.5
105;81.2;68.5
106;81.2;68.5
107;81.2;68.5
108;81.2;68.5
109;81.2;68.5
110;81.2;68.5
